username,userid,created,text,retweets,followers,friends,polarity,subjectivity
Charlie Kirk,292929271,2019-12-08 13:20:34,This is your daily reminder that Obama weaponized the IRS against conservative groups who disagreed with his radica... https://t.co/GLLFkg8qF0,9807,1421417,235244,0.0,0.0
Dan Bongino,232901331,2019-12-07 19:10:09,"Obama supporters, and Obama, on the dreadful Obama economy: ""Bush did it!""

Obama supporters, and Obama, on the  vi... https://t.co/h4CVE7PAzp",11304,1325458,650,-1.0,1.0
Joyce Alene,548384458,2019-12-08 12:05:08,"As more details emerge, it's hard not to ask whether Trump will give even terrorism a whitewash if his business par... https://t.co/Oqu0yqt8HP",8485,425315,998,0.10416666666666666,0.5208333333333333
Charlie Kirk,292929271,2019-12-08 16:05:40,"Facts:

Obama's approval rating at this point in his presidency--46%

Trump's approval rating--52%

Despite a nonstop... https://t.co/7M44tkIm6z",12138,1421417,235244,0.0,0.0
Bill Kristol,2800581040,2019-12-08 16:44:28,"I don't normally do the ""Can you imagine the response from Republicans and conservatives if this were said by an Ob... https://t.co/63ie6wF2Hm",3611,558897,4465,0.15,0.6499999999999999
Donald J. Trump,25073877,2019-12-07 17:32:30,"Taken during the Obama Administration (despite $150 Billion gift), returned during the Trump Administration. Thank... https://t.co/vin8gXyEWs",15786,67354697,48,0.0,0.0
Charlie Kirk,292929271,2019-12-07 22:21:14,"Why is Barack Obama moving to Martha's Vineyard and so far away from his hometown of Chicago?

Could it be because,... https://t.co/lyhGwgUtTI",11055,1421417,235244,0.1,1.0
Tom Fitton,18266688,2019-12-09 02:35:19,"Obama, Clinton, Comey, McCabe, Biden, Rice, Kerry, Brennan, Clapper, McCabe, Lynch, Strzok, Page, DNC, Schiff and L... https://t.co/ORP4UCpILF",2736,734456,3093,0.0,0.0
Tom Fitton,18266688,2019-12-07 21:14:04,"""When are Hillary/Obama going to go under oath &amp; be asked tough questions about their involvement? When it comes to... https://t.co/keu3gZHmd3",3322,734456,3093,-0.3888888888888889,0.8333333333333334
Sara A. Carter,25202268,2019-12-07 15:30:00,"Can you do this in #Socialism?

In 2016 @BarackObama said: 

""Michelle &amp; I we did not finish paying off our... https://t.co/NIpCYDb6kh",11692,902391,4707,0.0,0.0
Jack Posobiec 🇺🇸,592730371,2019-12-08 14:36:31,"Ukrainian Whistleblower Blows Up Schiff's Lies - Says Obama Admin Pressured Ukraine All of the Time, Reveals name o... https://t.co/4xPYauH4Sc",2179,583373,992,0.0,0.0
Ben Rhodes,820354372827758592,2019-12-08 17:07:10,"If Obama was still President, just imagine the media-amplified Republican outrage we would be hearing about not say... https://t.co/1xO0ilwCIq",589,360665,1131,0.0,0.0
